uni,city,zip,latitude,longitude,admission,act,sat,under,cost,debt
Elizabethtown College,Elizabethtown,17022-2298,40.150372,-76.594175,0.708189158,25,1133,1754,49314,24250
Wofford College,Spartanburg,29303-3663,34.957914,-81.934572,0.773865415,27,1194,1654,49150,20500
La Salle University,Philadelphia,19141-1199,40.038503,-75.152996,0.782277605,21,994,4122,48965,20500
Loyola University Chicago,Chicago,60660,41.999161,-87.657399,0.633437837,27,1212,10042,48958,22000
Cornell College,Mount Vernon,52314-1098,41.925982,-91.425435,0.736292428,27,1200,1082,48905,26331.5
Holy Names University,Oakland,94619-1699,37.802654,-122.18717,0.570552147,19,885,690,48896,20250
Sweet Briar College,Sweet Briar,24595-9998,37.556317,-79.079735,0.935361217,25,1056,561,48896,14625
Lesley University,Cambridge,02138-2790,42.378429,-71.115601,0.714892112,24,1086,1727,48818,19493.5
Butler University,Indianapolis,46208,39.840662,-86.171791,0.684648124,27,1205,4013,48784,25000
Curry College,Milton,02186-2395,42.240616,-71.114007,0.868759178,20,948,2843,48778,18500
Trinity University,San Antonio,78212-7200,29.46286,-98.482577,0.484187568,29,1281,2223,48579,19500
Philadelphia University,Philadelphia,19144-5497,40.021715,-75.193684,0.639395846,23,1074,2885,48575,24849
Saint Johns University,Collegeville,56321,45.580538,-94.39268,0.787610619,26,1155,1789,48520,23968
Seton Hall University,South Orange,07079-2697,40.742859,-74.248753,0.755387258,25,1133,5609,48457,19500
Kansas City Art Institute,Kansas City,64111-1874,39.046353,-94.583594,0.599673203,24,1086,650,48454,25000
Manhattan College,Riverdale,10471-4098,40.889756,-73.901893,0.665447006,25,1097,3471,48454,21000
The Kingês College,New York,10004,40.639967,-74.117851,0.703857049,25,1127,482,48437,19000
Luther College,Decorah,52101-1045,43.313584,-91.803971,0.711627907,26,1157,2326,48419,26968
College for Creative Studies,Detroit,48202,42.361839,-83.062352,0.456051873,22,1010,1376,48413,21500
Mount Saint Mary's University,Los Angeles,90049-1599,34.082112,-118.480471,0.782970847,18,902,2659,48372,21000
Marquette University,Milwaukee,53233,43.03903,-87.927961,0.667111009,27,1220,8212,48364,24700
Gonzaga University,Spokane,99258-0001,47.668144,-117.403062,0.675090757,27,1207,4754,48357,23000
University of Dallas,Irving,75062-4736,32.846202,-96.921573,0.851256983,27,1211,1324,48274,16736
Mount St Mary's University,Emmitsburg,21727-7799,39.680632,-77.35222,0.668674699,22,1048,1806,48273,19250
Southwestern University,Georgetown,78626,30.635194,-97.664637,0.485230857,26,1159,1536,48080,20466
Albion College,Albion,49224,42.244603,-84.746088,0.60785919,25,1125,1249,48073,24000
Linfield College-McMinnville Campus,McMinnville,97128-6894,45.201333,-123.200464,0.937682571,24,1083,1643,48058,22176
McDaniel College,Westminster,21157,39.584879,-77.001662,0.761294673,24,1094,1649,47966,21500
University of La Verne,La Verne,91750-4401,34.10086,-117.772634,0.465565408,22,1014,5137,47935,21012.5
Centre College,Danville,40422-1394,37.645102,-84.779175,0.715717723,29,1263,1379,47897,23250
Dean College,Franklin,02038-1941,42.08497,-71.399003,0.686615887,18,857,1256,47892,9500
Hollins University,Roanoke,24020,37.354629,-79.942196,0.564705882,24,1082,588,47787,23515
Creighton University,Omaha,68178,41.265325,-95.947029,0.726720648,27,1200,3977,47780,20917
Saint Mary's College,Notre Dame,46556,41.707274,-86.256947,0.833432128,26,1144,1508,47660,25500
University of St Thomas,Saint Paul,55105-1078,44.941662,-93.189422,0.866180049,20,949,6080,47616,21500
Notre Dame de Namur University,Belmont,94002-1908,37.517501,-122.284618,0.777111214,19,932,1177,47565,18750
Champlain College,Burlington,5401,44.47295,-73.204354,0.641694976,26,1150,2918,47556,20000
Marymount Manhattan College,New York,10021-4597,40.769108,-73.959676,0.735005701,24,1065,1831,47464,17500
Western New England University,Springfield,01119-2684,42.115837,-72.518789,0.801480051,24,1077,2722,47447,20874.5
Moravian College,Bethlehem,18018-6650,40.630888,-75.380979,0.861979167,22,1022,1564,47447,23250
Austin College,Sherman,75090-4400,33.646307,-96.598772,0.543778802,25,1159,1272,47404,23000
Seattle Pacific University,Seattle,98119-1997,47.649338,-122.362923,0.834045424,25,1140,3253,47389,21500
Mercer University,Macon,31207,32.831709,-83.650114,0.6672,27,1205,4418,47379,20000
Rochester Institute of Technology,Rochester,14623-5603,43.090325,-77.67521,0.574654326,29,1240,12635,47291,23500
Carthage College,Kenosha,53140-1994,42.622893,-87.820706,0.716478303,24,1104,2835,47276,20500
Siena College,Loudonville,12211-1462,42.718586,-73.75153,0.658565423,25,1127,3085,47265,23500
Randolph-Macon College,Ashland,23005-5505,37.749654,-77.472253,0.603384095,24,1086,1377,47262,23250
University of Hartford,West Hartford,06117-1599,41.796485,-72.714965,0.72133758,22,1000,4956,47114,18671.5
Coe College,Cedar Rapids,52402-5092,41.986383,-91.657535,0.553041434,25,1146,1363,47060,21500
Immaculata University,Immaculata,19345-0702,40.027963,-75.57063,0.759398496,20,962,2012,47048,21893.5
John Carroll University,University Heights,44118-4581,41.488978,-81.533103,0.82907307,25,1116,3069,46851,23373
Erskine College,Due West,29639,34.330674,-82.390797,0.605695509,22,1016,587,46843,15750
Xavier University,Cincinnati,45207-1092,39.149291,-84.477648,0.731495045,25,1113,4464,46740,20500
Pacific Lutheran University,Tacoma,98447-0003,47.145494,-122.445372,0.750145433,26,1115,2874,46717,22500
DeSales University,Center Valley,18034-9568,40.540137,-75.376549,0.796463506,24,1033,2383,46691,19500
Methodist University,Fayetteville,28311-1420,35.137854,-78.875024,0.559375,21,962,2171,46685,10000
University of Bridgeport,Bridgeport,06604-5620,41.165587,-73.189352,0.607178631,19,899,3021,46680,17392
Wabash College,Crawfordsville,47933-0352,40.037799,-86.905809,0.699761716,25,1128,923,46660,21000
LIU Post,Brookville,11548-1327,40.820043,-73.593279,0.846892485,21,950,3774,46535,18750
Millsaps College,Jackson,39210-0001,32.3231,-90.178084,0.571828032,26,1178,762,46491,22394
Presbyterian College,Clinton,29325,34.465697,-81.874408,0.537184595,24,1090,1032,46378,19075
Delaware Valley University,Doylestown,18901-2697,40.29757,-75.158202,0.757415254,21,990,1823,46333,17936
Iona College,New Rochelle,10801-1890,40.927107,-73.785635,0.866973651,23,1022,3052,46329,20000
Morehouse College,Atlanta,30314,33.74793,-84.415156,0.840286055,22,1004,2106,46258,24500
Saint Edward's University,Austin,78704-6489,30.229844,-97.75763,0.78363102,25,1116,3991,46212,21500
Wheelock College,Boston,02215-4104,42.342503,-71.10582,0.875171468,20,963,867,46164,23789
Biola University,La Mirada,90639-0001,33.904823,-118.017342,0.754001033,25,1122,4364,46162,19500
Suffolk University,Boston,02108-2770,42.359134,-71.06192,0.839062144,24,1049,5274,46152,21500
Wentworth Institute of Technology,Boston,2115,42.336632,-71.094983,0.826373213,25,1116,4295,46112,23000
University of Saint Joseph,West Hartford,6117,41.783028,-72.730489,0.799723757,21,969,930,46088,24500
Randolph College,Lynchburg,24503-1555,37.437429,-79.17079,0.810051737,25,1086,658,46060,19000
Franklin Pierce University,Rindge,03461-0060,42.782305,-72.057875,0.842952275,20,949,1731,45898,13500
Springfield College,Springfield,01109-3797,42.105033,-72.555688,0.708664898,20,1025,2136,45887,20500
Sierra Nevada College,Incline Village,89451,39.24586,-119.939523,0.65742025,23,1010,548,45859,14000
Lycoming College,Williamsport,17701-5192,41.246127,-77.0003,0.722222222,23,1043,1340,45746,26950
Rosemont College,Rosemont,19010-1699,40.034771,-75.329898,0.57875,25,993,516,45736,21000
Becker College,Worcester,01609-2165,42.26918,-71.811895,0.624692875,23,1015,1975,45609,16750
Azusa Pacific University,Azusa,91702-7000,34.130865,-117.88795,0.8183391,23,1037,5918,45472,18500
High Point University,High Point,27268,35.972674,-79.994545,0.801889339,24,1096,4197,45350,19500
Canisius College,Buffalo,14208-1098,42.925319,-78.851794,0.802290701,24,1085,2736,45339,19928.5
Wartburg College,Waverly,50677-0903,42.727629,-92.480933,0.788311688,24,1100,1614,45305,23500
Milwaukee School of Engineering,Milwaukee,53202-3109,43.045364,-87.907691,0.686480186,28,1243,2592,45260,25000
Birmingham Southern College,Birmingham,35254,33.515453,-86.853636,0.533935018,27,1181,1180,45162,21500
Oglethorpe University,Atlanta,30319-2797,33.875939,-84.334756,0.782310469,25,1139,1064,45158,15953
Central College,Pella,50219,41.400236,-92.918664,0.68904824,24,1101,1333,45151,24990
Centenary College,Hackettstown,7840,40.848693,-74.832775,0.819103973,19,926,1612,45141,19750
Augsburg College,Minneapolis,55454,44.965636,-93.241418,0.680240793,23,1074,2552,44986,22387.5
Spring Hill College,Mobile,36608-1791,30.694751,-88.138199,0.517694155,25,1116,1215,44970,20500
Hamline University,Saint Paul,55104-1284,44.965696,-93.163983,0.695932104,24,1101,2157,44883,17877
Lasell College,Newton,2466,42.342712,-71.243738,0.763216918,21,974,1727,44737,20250
Gordon College,Wenham,1984,42.588173,-70.819133,0.88372093,26,1161,1703,44699,23250
Valparaiso University,Valparaiso,46383,41.463176,-87.045853,0.82360191,26,1155,3210,44674,24000
Alma College,Alma,48801-1599,43.379236,-84.670073,0.719846022,24,1101,1362,44636,22000
Centenary College of Louisiana,Shreveport,71134-1188,32.483004,-93.731518,0.656697009,25,1109,548,44596,18304
The College of New Rochelle,New Rochelle,10805-2339,40.899427,-73.781104,0.385346953,21,958,3075,44483,15000
MCPHS University,Boston,02115-5896,42.337036,-71.100964,0.840122825,23,1074,3944,44449,25000
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,7666,40.896162,-74.030023,0.804105862,21,993,3870,44292,18750
Drake University,Des Moines,50311-4505,41.60381,-93.654062,0.692557134,28,1239,3290,44261,20500
Lynchburg College,Lynchburg,24501-3113,37.397678,-79.184153,0.667452403,22,998,2079,44236,21461
Mount Ida College,Newton,2459,42.293205,-71.194658,0.684938272,19,886,1290,44219,20000
Point Loma Nazarene University,San Diego,92106-2899,32.713295,-117.251204,0.695322793,26,1135,2560,44198,18560
Regis University,Denver,80221-1099,39.78976,-105.031385,0.960363336,25,1108,4914,44191,18509.5
Saint Francis University,Loretto,15940,40.502782,-78.638469,0.687195122,23,1033,1932,44190,26000
Elmhurst College,Elmhurst,60126-3096,41.899215,-87.946096,0.67710617,24,1089,2773,44143,17750
Monmouth University,West Long Branch,07764-1898,40.280066,-74.006447,0.741906124,24,1055,4584,44041,22276
Bethel University,Saint Paul,55112,45.057091,-93.159295,0.95434677,25,1146,2936,43974,19500
Duquesne University,Pittsburgh,15282,40.437496,-79.993046,0.730639731,26,1144,5969,43963,24500
Barry University,Miami,33161-6695,25.878865,-80.196136,0.461051799,20,938,3913,43885,20500
William Jewell College,Liberty,64068-1896,39.247848,-94.41207,0.628324946,25,1141,1043,43791,23309
Georgetown College,Georgetown,40324-1696,38.207934,-84.554583,0.887505984,24,1102,972,43776,20479
Rockhurst University,Kansas City,64110-2561,39.030843,-94.571249,0.769446672,26,1164,1671,43750,14500
Marietta College,Marietta,45750,39.417638,-81.450038,0.694572748,24,1105,1336,43634,20375
Capital University,Columbus,43209-2394,39.954875,-82.937867,0.727421555,24,1100,2636,43603,21500
Hanover College,Hanover,47243,38.712488,-85.461086,0.644736842,26,1101,1136,43582,25000
North Central College,Naperville,60540,41.775304,-88.143649,0.598415705,25,1125,2685,43557,20298.5
University of Evansville,Evansville,47722,37.969955,-87.531963,0.829471398,26,1144,2266,43495,22874
Cabrini University,Radnor,19087-3698,40.054565,-75.37215,0.752769163,20,897,1334,43480,18750
Chestnut Hill College,Philadelphia,19118-2693,40.087048,-75.228847,0.747148289,21,968,1428,43477,22000
Elon University,Elon,27244-2010,36.104149,-79.505632,0.539308628,27,1225,5782,43388,20500
Adrian College,Adrian,49221-2575,41.898449,-84.059947,0.618862798,22,1009,1570,43341,18750
Transylvania University,Lexington,40508-1797,38.053236,-84.493883,0.826177285,28,1230,1014,43304,23320
Berry College,Mount Berry,30149,34.289254,-85.189077,0.608260984,27,1183,2065,43283,15831
Queens University of Charlotte,Charlotte,28274-0001,35.188929,-80.832227,0.784473953,23,1051,1621,43239,19258
Otterbein University,Westerville,43081,40.12534,-82.936231,0.753095975,24,1094,2271,43190,21823.5
Saint Peter's University,Jersey City,07306-5997,40.727105,-74.071541,0.568997163,19,899,2409,43111,17500
St Catherine University,Saint Paul,55105,44.924542,-93.181925,0.672070247,22,1032,3399,43101,21679
Maryville College,Maryville,37804-5907,35.751969,-83.963853,0.708251473,23,1049,1213,43069,16625
George Fox University,Newberg,97132,45.30399,-122.968394,0.777585611,23,1081,2494,43033,18000
Belmont University,Nashville,37212-3757,36.133866,-86.794715,0.827184466,26,1176,5778,43030,18750
Adelphi University,Garden City,11530-0701,40.721439,-73.653321,0.724165342,22,1092,5036,43018,21500
Simpson College,Indianola,50125,41.365503,-93.563471,0.854531607,25,1125,1644,43008,22500
Warren Wilson College,Swannanoa,28778-2099,35.611762,-82.441097,0.717687075,26,1134,819,43000,12750
Minneapolis College of Art and Design,Minneapolis,55404,44.956988,-93.274694,0.644067797,24,1088,658,42990,19500
Oklahoma City University,Oklahoma City,73106-1402,35.495271,-97.541242,0.677740864,26,1165,1793,42983,19168
Le Moyne College,Syracuse,13214-1301,43.047316,-76.088449,0.659523429,24,1071,2728,42943,20921
Union University,Jackson,38305-3697,35.676896,-88.858524,0.685829551,26,1170,2441,42891,20563
Notre Dame of Maryland University,Baltimore,21210-2476,39.351307,-76.619701,0.494558646,25,1048,1153,42859,21797
Shenandoah University,Winchester,22601-5195,39.166058,-78.158376,0.825904562,21,994,1875,42847,18851
Concordia College at Moorhead,Moorhead,56562,46.859423,-96.765567,0.642808684,26,1166,2296,42829,25000
Stephens College,Columbia,65215,38.950631,-92.322997,0.535993062,23,1064,667,42776,17375
American International College,Springfield,1109,42.112708,-72.558507,0.675715696,20,887,1473,42762,19750
Vanguard University of Southern California,Costa Mesa,92626,33.662686,-117.900911,0.580044676,21,970,1941,42756,19500
Spelman College,Atlanta,30314-4399,33.74519,-84.410118,0.540009251,22,1005,2135,42739,25000
Trine University,Angola,46703-1764,41.633389,-85.005696,0.757524518,24,1078,1654,42733,17063
Ripon College,Ripon,54971-0248,43.842383,-88.8426,0.674480911,24,1108,820,42703,27000
Felician University,Lodi,7644,40.867272,-74.096452,0.841631674,17,870,1629,42675,21250
Hiram College,Hiram,44234-0067,41.312294,-81.142886,0.620786517,22,1004,1217,42650,21497.5
Alaska Pacific University,Anchorage,99508,61.191235,-149.804242,0.420731707,23,1054,275,42640,18750
Messiah College,Mechanicsburg,17055,40.15867,-76.988492,0.799757282,25,1125,2713,42624,22728
Virginia Wesleyan College,Norfolk,23502-5599,36.868417,-76.18606,0.890444015,22,991,1492,42600,15000
Concordia University-Irvine,Irvine,92612-3203,33.6535,-117.81063,0.860810811,23,1038,1884,42472,17750
Wheaton College,Wheaton,60187-5593,41.870943,-88.09681,0.691542289,30,1311,2402,42390,21500
Bridgewater College,Bridgewater,22812-1599,38.378391,-78.969011,0.478197439,24,1056,1768,42376,20500
The College of Saint Scholastica,Duluth,55811-4199,46.81544,-92.105738,0.661817102,24,1106,2788,42355,18238
Saint Martin's University,Lacey,98503-7500,47.043316,-122.816948,0.888235294,24,1057,1316,42353,20500
Albany College of Pharmacy and Health Sciences,Albany,12208-3492,42.652559,-73.778132,0.674036639,26,1165,1076,42325,23500
Nova Southeastern University,Fort Lauderdale,33314-7796,26.079337,-80.24248,0.488084326,26,1143,4582,42261,19000
St Bonaventure University,Saint Bonaventure,14778,42.07863,-78.47586,0.70432513,24,1066,1735,42234,22750
Cedar Crest College,Allentown,18104-6196,40.586695,-75.519799,0.523274478,22,1005,1310,42202,20500
Saint Vincent College,Latrobe,15650-2690,40.29252,-79.403702,0.719196192,22,1034,1564,42120,24250
Bradley University,Peoria,61625-0001,40.697605,-89.61462,0.643023643,26,1162,4585,42090,24000
Soka University of America,Aliso Viejo,92656-8081,33.549425,-117.734893,0.434567901,27,1223,411,42076,20629
Campbell University,Buies Creek,27506,35.409333,-78.739508,0.680649926,22,1025,4228,42061,16500
Monmouth College,Monmouth,61462-1998,40.91459,-90.637909,0.690634865,22,1033,1281,42027,21000
Roosevelt University,Chicago,60605-1394,41.876055,-87.624952,0.776417404,23,1050,3727,42022,17056
New York Institute of Technology,Old Westbury,11568-8000,40.814402,-73.608885,0.640338337,24,1069,4160,41830,17500
LIM College,New York,10022-5268,40.759817,-73.974911,0.742074928,19,914,1548,41784,19000
Gwynedd Mercy University,Gwynedd Valley,19437-0901,40.197566,-75.238052,0.763779528,21,961,1941,41758,20000
Saint Norbert College,De Pere,54115-2099,44.444651,-88.067301,0.817124244,25,1125,2052,41736,23500
Saint Mary-of-the-Woods College,Saint Mary of the Woods,47876-1099,39.510543,-87.460126,1,20,943,678,41669,17544
John Paul the Great Catholic University,Escondido,92025,33.12085,-117.082401,0.875,24,1086,195,41646,13250
Howard University,Washington,20059-0001,38.920739,-77.019478,0.484084302,24,1105,6961,41643,23750
College of Our Lady of the Elms,Chicopee,1013,42.14179,-72.601541,0.789659224,19,946,1336,41625,23000
Abilene Christian University,Abilene,79699,32.46915,-99.70954,0.504688832,24,1091,3572,41606,19292.5
Ashland University,Ashland,44805,40.860987,-82.320621,0.725725095,23,1048,3227,41577,20000
Stevenson University,Stevenson,21153-0641,39.421264,-76.701247,0.623082973,21,990,3778,41569,19582
Ohio Dominican University,Columbus,43219,39.99265,-82.940499,0.46568839,22,1005,1350,41470,21500
Rivier University,Nashua,3060,42.738343,-71.455466,0.625592417,20,962,1433,41377,19000
Bluffton University,Bluffton,45817-2104,40.896998,-83.897678,0.560259179,22,1029,896,41351,20000
Bay Path University,Longmeadow,1106,42.055364,-72.583974,0.630459127,20,951,1574,41344,18065
Prescott College,Prescott,86301,34.5445,-112.476509,0.687258687,24,1073,454,41256,16250
Emory & Henry College,Emory,24327-0947,36.772543,-81.831737,0.717199184,22,995,997,41251,18563
Columbus College of Art and Design,Columbus,43215,39.965767,-82.988548,0.886363636,22,1044,1193,41140,27000
Lawrence Technological University,Southfield,48075-1058,42.474072,-83.25003,0.574179431,25,1127,2798,41064,19000
Wilson College,Chambersburg,17201-1285,39.947461,-77.658075,0.312834225,22,976,516,41015,20670
Marymount University,Arlington,22207-4224,38.905552,-77.128799,0.839574899,21,1001,2343,41008,20730.5
Converse College,Spartanburg,29302-0006,34.956232,-81.918829,0.534842168,23,1045,822,40977,15274
Eastern University,Saint Davids,19087-3696,40.052306,-75.370268,0.621800948,23,1038,2381,40966,20000
Olivet Nazarene University,Bourbonnais,60914-2271,41.155489,-87.873654,0.74492996,24,1105,3504,40949,19000
Samford University,Birmingham,35229-2240,33.464578,-86.790932,0.595368145,26,1165,3033,40900,17250
Thiel College,Greenville,16125-2181,41.41308,-80.382134,0.694929006,21,970,1025,40841,23250
Defiance College,Defiance,43512,41.300336,-84.356596,0.646918013,21,975,801,40814,17692.5
Northland College,Ashland,54806-3999,46.578983,-90.874991,0.634313725,24,1085,575,40765,17000
Carroll College,Helena,59625-0002,46.602202,-112.04053,0.575276439,25,1133,1410,40762,22000
The Master's College and Seminary,Santa Clarita,91321-1200,34.38214,-118.517422,0.758762887,25,1103,1182,40755,16500
Alvernia University,Reading,19607-1799,40.3102,-75.938163,0.747851003,21,970,2272,40723,22500
La Sierra University,Riverside,92515-8247,33.908834,-117.497071,0.406415976,20,934,2054,40702,14500
Calvin College,Grand Rapids,49546,42.929916,-85.587548,0.731448763,26,1182,3825,40694,22000
Salem College,Winston-Salem,27101,36.087531,-80.241357,0.598493003,24,1102,946,40574,19000
Ferrum College,Ferrum,24088-9000,36.926648,-80.020864,0.733110164,20,852,1447,40553,12000
Buena Vista University,Storm Lake,50588,42.642529,-95.208053,0.678891606,23,1047,1892,40430,16807
Florida Southern College,Lakeland,33801-5698,28.031507,-81.945791,0.448121646,26,1147,2352,40347,16760
St Thomas University,Miami Gardens,33054-6459,25.920915,-80.256265,0.848970252,19,919,931,40271,16250
Covenant College,Lookout Mountain,30750-4164,34.963327,-85.37496,0.966412214,26,1175,1066,40235,19000
Saint John Fisher College,Rochester,14618-3597,43.117064,-77.516979,0.679092805,25,1091,2834,40209,21250
Mary Baldwin College,Staunton,24401,38.155724,-79.067741,0.954456734,22,979,1296,40203,18750
Niagara University,Niagara University,14109,43.138222,-79.037737,0.658625526,23,1040,3130,40164,21362.5
The University of Findlay,Findlay,45840-3653,41.05441,-83.652067,0.719705341,23,1035,2767,40131,18750
Misericordia University,Dallas,18612-1098,41.344765,-75.971016,0.714634146,24,1074,2407,40111,21926.5
Wilmington College,Wilmington,45177,39.441097,-83.817271,0.953671759,21,970,1196,40098,18300
Eastern Mennonite University,Harrisonburg,22802-2462,38.478611,-78.876077,0.604382228,22,1003,1198,40024,14948
College of Mount Saint Vincent,Bronx,10471-1093,40.912814,-73.907019,0.952080706,21,931,1671,40018,25000
Newberry College,Newberry,29108,34.286201,-81.601966,0.567464115,20,945,1076,39983,20000
Marian University,Indianapolis,46222-1997,39.81534,-86.204599,0.564375605,23,1036,1999,39937,21500
West Virginia Wesleyan College,Buckhannon,26201-2994,38.990476,-80.217094,0.775852432,22,1005,1375,39927,15000
Clarke University,Dubuque,52001-3198,42.508619,-90.691512,0.704930096,22,1029,933,39916,19751
Hope College,Holland,49422-9000,42.788052,-86.105376,0.774061433,26,1185,3312,39856,24914
St Louis College of Pharmacy,Saint Louis,63110-1088,38.637165,-90.260357,0.694382022,26,1188,693,39799,17500
Caldwell University,Caldwell,07006-6195,40.834285,-74.273697,0.639250556,20,950,1596,39782,19776
Alfred University,Alfred,14802-1205,42.255866,-77.788625,0.694428489,24,1064,1842,39758,21500
Roberts Wesleyan College,Rochester,14624,43.126747,-77.798964,0.6875,23,1059,1335,39746,19000
Saint Mary's University of Minnesota,Winona,55987-1399,44.045322,-91.696652,0.742398164,23,1067,1859,39736,15750
Mount Saint Mary College,Newburgh,12550,41.511212,-74.012906,0.886157135,22,1011,2096,39720,20000
University of Northwestern-St Paul,Saint Paul,55113-1598,45.032969,-93.171579,0.695427729,24,1110,1945,39702,18500
Taylor University,Upland,46989-1001,40.458382,-85.496906,0.880347594,27,1184,1855,39699,19469
Franklin College,Franklin,46131-2623,39.478298,-86.047182,0.692195122,23,1031,1022,39697,21500
Saint Ambrose University,Davenport,52803-2898,41.540081,-90.58098,0.960731212,23,1050,2675,39639,19500
Pacific Union College,Angwin,94508-9707,38.57409,-122.449639,0.47440273,23,1017,1583,39564,21500
Robert Morris University,Moon Township,15108-1189,40.521088,-80.211785,0.762038259,22,1051,4546,39552,21750
Houghton College,Houghton,14744,42.426841,-78.156882,0.938131313,25,1121,1010,39545,18904.5
Lake Erie College,Painesville,44077-3389,41.717841,-81.251817,0.693602694,21,966,761,39524,15625
California Baptist University,Riverside,92504-3297,33.928569,-117.42587,0.796722869,21,976,6435,39523,20000
Bloomfield College,Bloomfield,7003,40.794218,-74.19593,0.633972069,15,810,1933,39473,18514
LaGrange College,Lagrange,30240-2999,33.039713,-85.041394,0.552494415,22,1035,874,39472,13125
Millikin University,Decatur,62522-2084,39.842604,-88.974571,0.62734255,23,1046,2082,39472,22430.5
Memphis College of Art,Memphis,38104-2764,35.145874,-89.993707,0.380604797,22,1025,365,39459,18250
San Diego Christian College,Santee,92071,32.84281,-116.978151,0.555012225,22,992,940,39364,15544
Corban University,Salem,97317-9392,44.88408,-122.958413,0.373786408,22,1016,924,39327,18041
Manchester University,North Manchester,46962,41.011609,-85.758762,0.742845943,22,1000,1254,39325,19500
Carroll University,Waukesha,53186,43.004647,-88.227962,0.808352981,24,1090,2934,39312,22000
Trinity International University-Illinois,Deerfield,60015-1283,42.197909,-87.882722,1,23,1062,857,39292,13500
Northwestern College,Orange City,51041,42.998955,-96.058382,0.77830941,24,1103,1113,39236,19820
Maryville University of Saint Louis,Saint Louis,63141-7299,38.645474,-90.505096,0.720521173,25,1137,2736,39236,18875
Baker University,Baldwin City,66006-0065,38.777278,-95.188231,0.695283019,23,1059,1649,39122,21353
Webster University,Saint Louis,63119-3194,38.589269,-90.345654,0.720578114,24,1105,3349,39110,19500
DigiPen Institute of Technology,Redmond,98052,47.68938,-122.150181,0.648769575,28,1211,932,39035,19750
Judson University,Elgin,60123-1498,42.05896,-88.289708,0.731152205,23,1080,1051,39014,16250
Gannon University,Erie,16541-0001,42.126111,-80.086258,0.776665853,23,1037,2763,38895,23249
Anderson University,Anderson,46012-3495,40.112167,-85.662292,0.549078601,23,1048,1831,38820,21666
Greensboro College,Greensboro,27401-1875,36.071082,-79.800232,0.731127198,18,876,741,38810,16714
Lipscomb University,Nashville,37204-3951,36.10469,-86.799304,0.555825899,26,1175,2875,38772,13196
Loras College,Dubuque,52004-0178,42.504131,-90.680232,0.951276102,24,1088,1468,38758,21970
Dordt College,Sioux Center,51250-1697,43.08396,-96.166319,0.7299444,24,1100,1343,38709,19000
Nebraska Wesleyan University,Lincoln,68504-2794,40.838789,-96.648414,0.781408451,25,1124,1803,38668,19500
The University of Tampa,Tampa,33606-1490,27.947225,-82.465582,0.518770339,25,1094,6811,38635,17500
Palm Beach Atlantic University,West Palm Beach,33401,26.704629,-80.049758,0.952685422,24,1071,2585,38513,16000
LeTourneau University,Longview,75602,32.467658,-94.72726,0.494037479,26,1177,2015,38461,20718
Concordia College-New York,Bronxville,10708-1998,40.94253,-73.82212,0.747711089,20,872,886,38419,22500
William Peace University,Raleigh,27604-1194,35.789105,-78.636793,0.629053178,19,890,1077,38415,12000
University of Mount Union,Alliance,44601-3993,40.905093,-81.108624,0.735468565,23,1057,2144,38400,23671.5
Doane University-Arts & Sciences,Crete,68333,40.623107,-96.949656,0.793484942,23,1060,1064,38380,17600
Molloy College,Rockville Centre,11571-5002,40.68597,-73.626278,0.754043332,24,1072,3293,38282,24263
Barton College,Wilson,27893-7000,35.735463,-77.913805,0.384565709,21,962,998,38209,21500
Briar Cliff University,Sioux City,51104,42.526919,-96.42696,0.616901408,22,1005,964,38198,14183.5
Concordia University-Wisconsin,Mequon,53097-2402,43.254217,-87.916628,0.754066615,24,1089,4280,38159,14000
Goshen College,Goshen,46526-4794,41.564254,-85.826766,0.54,25,1109,746,38153,16445
Hope International University,Fullerton,92831-3199,33.87616,-117.88573,0.310043668,19,896,816,38119,17750
Point Park University,Pittsburgh,15222-1984,40.438526,-80.001462,0.707408475,22,995,3100,38106,21500
Mount Mercy University,Cedar Rapids,52402-4797,42.001931,-91.650991,0.568345324,22,1030,1417,38095,18835
Mars Hill University,Mars Hill,28754,35.825858,-82.550859,0.620942075,20,924,1396,38086,12250
Neumann University,Aston,19014-1298,39.874944,-75.437928,0.940427699,17,853,2464,38072,22250
Augustana University,Sioux Falls,57197-0001,43.525939,-96.738507,0.612944984,26,1162,1619,37968,24715.5
Iowa Wesleyan University,Mount Pleasant,52641,40.973689,-91.552588,0.410652921,21,990,473,37965,16050
Morningside College,Sioux City,51106-1751,42.47324,-96.360738,0.568192771,23,1065,1293,37944,19500
Averett University,Danville,24541,36.577273,-79.413214,0.596379127,19,923,836,37868,18387.5
St. Thomas Aquinas College,Sparkill,10976-1050,41.041126,-73.934182,0.808151792,20,958,1147,37860,16750
Milligan College,Milligan College,37682,36.30036,-82.29499,0.624137931,24,1097,880,37853,18750
McKendree University,Lebanon,62254-1291,38.609431,-89.814486,0.611507128,23,1048,2452,37845,16500
North Carolina Wesleyan College,Rocky Mount,27804,36.017443,-77.774231,0.532612747,18,923,1864,37812,12740
Cardinal Stritch University,Milwaukee,53217-3985,43.139752,-87.909045,0.829817159,22,1003,2304,37755,23500
Saint Josephs College,Rensselaer,47978-0870,40.917186,-87.155026,0.664122137,21,996,1074,37735,17000
Midland University,Fremont,68025,41.43675,-96.488354,0.601822079,22,1010,1236,37710,12573.5
